Kode,Sektor,Nama Perusahaan,Papan Pencatatan
BWPT,Consumer Non-Cyclicals,Eagle High Plantations Tbk.,Utama
BYAN,Energy,Bayan Resources Tbk.,Utama
CAKK,Industrials,Cahayaputra Asa Keramik Tbk.,Pengembangan
CAMP,Consumer Non-Cyclicals,Campina Ice Cream Industry Tbk,Pengembangan
CANI,Energy,Capitol Nusantara Indonesia Tb,Pemantauan Khusus
CARE,Healthcare,Metro Healthcare Indonesia Tbk,Pengembangan
CARS,Consumer Cyclicals,Industri dan Perdagangan Bintr,Utama
CASA,Financials,Capital Financial Indonesia Tb,Pengembangan
CASH,Technology,Cashlez Worldwide Indonesia Tb,Pemantauan Khusus
CASS,Infrastructures,Cahaya Aero Services Tbk.,Utama
CBDK,Properties & Real Estate,Bangun Kosambi Sukses Tbk.,Utama
CBMF,Consumer Cyclicals,Cahaya Bintang Medan Tbk.,Pemantauan Khusus
CBPE,Properties & Real Estate,Citra Buana Prasida Tbk.,Pengembangan
CBRE,Energy,Cakra Buana Resources Energi T,Pengembangan
CBUT,Consumer Non-Cyclicals,Citra Borneo Utama Tbk.,Utama
CCSI,Industrials,Communication Cable Systems In,Pengembangan
CDIA,Infrastructures,Chandra Daya Investasi Tbk.,Pengembangan
CEKA,Consumer Non-Cyclicals,Wilmar Cahaya Indonesia Tbk.,Pengembangan
CENT,Infrastructures,Centratama Telekomunikasi Indo,Pengembangan
CFIN,Financials,Clipan Finance Indonesia Tbk.,Utama
CGAS,Energy,Citra Nusantara Gemilang Tbk.,Pengembangan
CHEK,Healthcare,Diastika Biotekindo Tbk.,Pengembangan
CHEM,Basic Materials,Chemstar Indonesia Tbk.,Pengembangan
CHIP,Technology,Pelita Teknologi Global Tbk.,Akselerasi
CINT,Consumer Cyclicals,Chitose Internasional Tbk.,Pengembangan
CITA,Basic Materials,Cita Mineral Investindo Tbk.,Utama
CITY,Properties & Real Estate,Natura City Developments Tbk.,Pengembangan
CLAY,Consumer Cyclicals,Citra Putra Realty Tbk.,Pengembangan
CLEO,Consumer Non-Cyclicals,Sariguna Primatirta Tbk.,Utama
CLPI,Basic Materials,Colorpak Indonesia Tbk.,Pengembangan
CMNP,Infrastructures,Citra Marga Nusaphala Persada,Utama
CMNT,Basic Materials,Cemindo Gemilang Tbk.,Pengembangan
CMPP,Transportation & Logistic,AirAsia Indonesia Tbk.,Pemantauan Khusus
CMRY,Consumer Non-Cyclicals,Cisarua Mountain Dairy Tbk.,Utama
CNKO,Energy,Exploitasi Energi Indonesia Tb,Pemantauan Khusus
CNMA,Consumer Cyclicals,Nusantara Sejahtera Raya Tbk.,Pengembangan
COAL,Energy,Black Diamond Resources Tbk.,Pemantauan Khusus
COCO,Consumer Non-Cyclicals,Wahana Interfood Nusantara Tbk,Pengembangan
COIN,Financials,Indokripto Koin Semesta Tbk.,Pengembangan
COWL,Properties & Real Estate,Cowell Development Tbk.,Pemantauan Khusus
CPIN,Consumer Non-Cyclicals,Charoen Pokphand Indonesia Tbk,Utama
CPRI,Properties & Real Estate,Capri Nusa Satu Properti Tbk.,Pemantauan Khusus
CPRO,Consumer Non-Cyclicals,Central Proteina Prima Tbk.,Pengembangan
CRAB,Consumer Non-Cyclicals,Toba Surimi Industries Tbk.,Pengembangan
CRSN,Industrials,Carsurin Tbk.,Pengembangan
CSAP,Consumer Cyclicals,Catur Sentosa Adiprana Tbk.,Pengembangan
CSIS,Properties & Real Estate,Cahayasakti Investindo Sukses,Pengembangan
CSMI,Consumer Cyclicals,Cipta Selera Murni Tbk.,Pengembangan
CSRA,Consumer Non-Cyclicals,Cisadane Sawit Raya Tbk.,Pengembangan
CTBN,Basic Materials,Citra Tubindo Tbk.,Pengembangan
CTRA,Properties & Real Estate,Ciputra Development Tbk.,Utama
CTTH,Industrials,Citatah Tbk.,Pengembangan
CUAN,Energy,Petrindo Jaya Kreasi Tbk.,Utama
CYBR,Technology,ITSEC Asia Tbk.,Pengembangan
