Kode,Sektor,Nama Perusahaan,Papan Pencatatan
SCCO,Industrials,Supreme Cable Manufacturing &,Pengembangan
SCMA,Consumer Cyclicals,Surya Citra Media Tbk.,Utama
SCNP,Consumer Cyclicals,Selaras Citra Nusantara Perkas,Pengembangan
SCPI,Healthcare,Organon Pharma Indonesia Tbk.,Pemantauan Khusus
SDMU,Transportation & Logistic,Sidomulyo Selaras Tbk.,Pengembangan
SDPC,Consumer Non-Cyclicals,Millennium Pharmacon Internati,Pengembangan
SDRA,Financials,Bank Woori Saudara Indonesia 1,Pengembangan
SEMA,Energy,Semacom Integrated Tbk.,Pengembangan
SFAN,Financials,Surya Fajar Capital Tbk.,Pengembangan
SGER,Energy,Sumber Global Energy Tbk.,Utama
SGRO,Consumer Non-Cyclicals,Prime Agri Resources Tbk.,Utama
SHID,Consumer Cyclicals,Hotel Sahid Jaya International,Pengembangan
SHIP,Energy,Sillo Maritime Perdana Tbk.,Utama
SICO,Energy,Sigma Energy Compressindo Tbk.,Pengembangan
SIDO,Healthcare,Industri Jamu dan Farmasi Sido,Utama
SILO,Healthcare,Siloam International Hospitals,Utama
SIMA,Basic Materials,Siwani Makmur Tbk,Pemantauan Khusus
SIMP,Consumer Non-Cyclicals,Salim Ivomas Pratama Tbk.,Utama
SINI,Industrials,Singaraja Putra Tbk.,Pengembangan
SIPD,Consumer Non-Cyclicals,Sreeya Sewu Indonesia Tbk.,Pengembangan
SKBM,Consumer Non-Cyclicals,Sekar Bumi Tbk.,Pengembangan
SKLT,Consumer Non-Cyclicals,Sekar Laut Tbk.,Pengembangan
SKRN,Industrials,Superkrane Mitra Utama Tbk.,Utama
SKYB,Technology,Northcliff Citranusa Indonesia,Pemantauan Khusus
SLIS,Consumer Cyclicals,Gaya Abadi Sempurna Tbk.,Pengembangan
SMAR,Consumer Non-Cyclicals,Sinar Mas Agro Resources and T,Utama
SMBR,Basic Materials,Semen Baturaja (Persero) Tbk.,Utama
SMCB,Basic Materials,Solusi Bangun Indonesia Tbk.,Pemantauan Khusus
SMDM,Properties & Real Estate,Suryamas Dutamakmur Tbk.,Pengembangan
SMDR,Transportation & Logistic,Samudera Indonesia  Tbk.,Utama
SMGA,Basic Materials,Sumber Mineral Global Abadi Tb,Pengembangan
SMGR,Basic Materials,Semen Indonesia (Persero) Tbk.,Utama
SMIL,Industrials,Sarana Mitra Luas Tbk.,Utama
SMKL,Basic Materials,Satyamitra Kemas Lestari Tbk.,Pengembangan
SMKM,Infrastructures,Sumber Mas Konstruksi Tbk.,Akselerasi
SMLE,Basic Materials,Sinergi Multi Lestarindo Tbk.,Pengembangan
SMMA,Financials,Sinarmas Multiartha Tbk.,Pengembangan
SMMT,Energy,Golden Eagle Energy Tbk.,Pengembangan
SMRA,Properties & Real Estate,Summarecon Agung Tbk.,Utama
SMRU,Energy,SMR Utama Tbk.,Pemantauan Khusus
SMSM,Consumer Cyclicals,Selamat Sempurna Tbk.,Utama
SNLK,Consumer Cyclicals,Sunter Lakeside Hotel Tbk.,Pengembangan
SOCI,Energy,Soechi Lines Tbk.,Pengembangan
SOFA,Consumer Cyclicals,Solusi Environment Asia Tbk.,Akselerasi
SOHO,Healthcare,Soho Global Health Tbk.,Pengembangan
SOLA,Basic Materials,Xolare RCR Energy Tbk.,Pengembangan
SONA,Consumer Cyclicals,Sona Topas Tourism Industry Tb,Pemantauan Khusus
SOSS,Industrials,ALSOK Indonesia Services Tbk.,Pemantauan Khusus
SOTS,Consumer Cyclicals,Satria Mega Kencana Tbk.,Pengembangan
SOUL,Consumer Non-Cyclicals,Mitra Tirta Buwana Tbk.,Akselerasi
SPMA,Basic Materials,Suparma Tbk.,Pengembangan
SPRE,Consumer Cyclicals,Soraya Berjaya Indonesia Tbk.,Akselerasi
SPTO,Industrials,Surya Pertiwi Tbk.,Utama
SQMI,Basic Materials,Wilton Makmur Indonesia Tbk.,Pengembangan
SRAJ,Healthcare,Sejahteraraya Anugrahjaya Tbk.,Pengembangan
SRIL,Consumer Cyclicals,Sri Rejeki Isman Tbk.,Pemantauan Khusus
SRSN,Basic Materials,Indo Acidatama Tbk,Pengembangan
SRTG,Financials,Saratoga Investama Sedaya Tbk.,Utama
SSIA,Infrastructures,Surya Semesta Internusa Tbk.,Utama
SSMS,Consumer Non-Cyclicals,Sawit Sumbermas Sarana Tbk.,Utama
SSTM,Consumer Cyclicals,Sunson Textile Manufacture Tbk,Pengembangan
STAA,Consumer Non-Cyclicals,Sumber Tani Agung Resources Tb,Utama
STAR,Financials,Calculus Global Ventures Tbk.,Pengembangan
STRK,Consumer Non-Cyclicals,Lovina Beach Brewery Tbk.,Pengembangan
STTP,Consumer Non-Cyclicals,Siantar Top Tbk.,Pengembangan
SUGI,Energy,Sugih Energy Tbk.,Pemantauan Khusus
SULI,Basic Materials,SLJ Global Tbk.,Pengembangan
SUNI,Energy,Sunindo Pratama Tbk.,Utama
SUPA,Financials,Super Bank Indonesia Tbk.,Pengembangan
SUPR,Infrastructures,Solusi Tunas Pratama Tbk.,Pemantauan Khusus
SURE,Energy,Super Energy Tbk.,Pengembangan
SURI,Healthcare,Maja Agung Latexindo Tbk.,Pengembangan
SWAT,Basic Materials,Sriwahana Adityakarta Tbk.,Pemantauan Khusus
SWID,Consumer Cyclicals,Saraswanti Indoland Developmen,Pengembangan
TALF,Basic Materials,Tunas Alfin Tbk.,Pengembangan
TAMA,Infrastructures,Lancartama Sejati Tbk.,Pemantauan Khusus
TAMU,Energy,Pelayaran Tamarin Samudra Tbk.,Pemantauan Khusus
TAPG,Consumer Non-Cyclicals,Triputra Agro Persada Tbk.,Utama
TARA,Properties & Real Estate,Agung Semesta Sejahtera Tbk.,Pemantauan Khusus
TAXI,Transportation & Logistic,Express Transindo Utama Tbk.,Pemantauan Khusus
TAYS,Consumer Non-Cyclicals,Jaya Swarasa Agung Tbk.,Pengembangan
TBIG,Infrastructures,Tower Bersama Infrastructure T,Utama
TBLA,Consumer Non-Cyclicals,Tunas Baru Lampung Tbk.,Utama
TBMS,Basic Materials,Tembaga Mulia Semanan Tbk.,Pengembangan
TCID,Consumer Non-Cyclicals,Mandom Indonesia Tbk.,Pengembangan
TCPI,Energy,Transcoal Pacific Tbk.,Pengembangan
TDPM,Basic Materials,Tianrong Chemicals Industry Tb,Pemantauan Khusus
TEBE,Energy,Dana Brata Luhur Tbk.,Utama
TECH,Technology,Indosterling Technomedia Tbk.,Pemantauan Khusus
TELE,Consumer Cyclicals,Omni Inovasi Indonesia Tbk.,Pemantauan Khusus
TFAS,Technology,Telefast Indonesia Tbk.,Pengembangan
TFCO,Consumer Cyclicals,Tifico Fiber Indonesia Tbk.,Pemantauan Khusus
TGKA,Consumer Non-Cyclicals,Tigaraksa Satria Tbk.,Pengembangan
TGRA,Infrastructures,Terregra Asia Energy Tbk.,Pemantauan Khusus
TGUK,Consumer Non-Cyclicals,Platinum Wahab Nusantara Tbk.,Pemantauan Khusus
TIFA,Financials,KDB Tifa Finance Tbk.,Pengembangan
TINS,Basic Materials,TIMAH (Persero) Tbk.,Utama
TIRA,Industrials,Tira Austenite Tbk,Pengembangan
TIRT,Basic Materials,Tirta Mahakam Resources Tbk,Pemantauan Khusus
TKIM,Basic Materials,Pabrik Kertas Tjiwi Kimia Tbk.,Utama
TLDN,Consumer Non-Cyclicals,Teladan Prima Agro Tbk.,Utama
TLKM,Infrastructures,Telkom Indonesia (Persero) Tbk,Utama
TMAS,Transportation & Logistic,Temas Tbk.,Utama
TMPO,Consumer Cyclicals,Tempo Intimedia Tbk.,Pengembangan
TNCA,Transportation & Logistic,Trimuda Nuansa Citra Tbk.,Pengembangan
TOBA,Energy,TBS Energi Utama Tbk.,Utama
TOOL,Consumer Cyclicals,Rohartindo Nusantara Luas Tbk.,Pengembangan
TOPS,Infrastructures,Totalindo Eka Persada Tbk.,Pemantauan Khusus
TOSK,Technology,Topindo Solusi Komunika Tbk.,Pengembangan
TOTL,Infrastructures,Total Bangun Persada Tbk.,Utama
TOTO,Industrials,Surya Toto Indonesia Tbk.,Utama
TOWR,Infrastructures,Sarana Menara Nusantara Tbk.,Utama
TOYS,Consumer Cyclicals,Sunindo Adipersada Tbk.,Pemantauan Khusus
TPIA,Basic Materials,Chandra Asri Pacific Tbk.,Utama
TPMA,Energy,Trans Power Marine Tbk.,Utama
TRAM,Energy,Trada Alam Minera Tbk.,Pemantauan Khusus
TRGU,Consumer Non-Cyclicals,Cerestar Indonesia Tbk.,Utama
TRIL,Industrials,Triwira Insanlestari Tbk.,Pemantauan Khusus
TRIM,Financials,Trimegah Sekuritas Indonesia T,Utama
TRIN,Properties & Real Estate,Perintis Triniti Properti Tbk.,Pengembangan
TRIO,Consumer Cyclicals,Trikomsel Oke Tbk.,Pemantauan Khusus
TRIS,Consumer Cyclicals,Trisula International Tbk.,Pengembangan
TRJA,Transportation & Logistic,Transkon Jaya Tbk.,Pengembangan
TRON,Technology,Teknologi Karya Digital Nusa T,Pengembangan
TRST,Basic Materials,Trias Sentosa Tbk.,Pengembangan
TRUE,Properties & Real Estate,Triniti Dinamik Tbk.,Pengembangan
TRUK,Transportation & Logistic,Guna Timur Raya Tbk.,Pemantauan Khusus
TRUS,Financials,Trust Finance Indonesia Tbk,Pengembangan
TSPC,Healthcare,Tempo Scan Pacific Tbk.,Utama
TUGU,Financials,Asuransi Tugu Pratama Indonesi,Utama
TYRE,Consumer Cyclicals,King Tire Indonesia Tbk.,Pengembangan
UANG,Properties & Real Estate,Pakuan Tbk.,Pengembangan
UCID,Consumer Non-Cyclicals,Uni-Charm Indonesia Tbk.,Utama
UDNG,Consumer Non-Cyclicals,Agro Bahari Nusantara Tbk.,Akselerasi
UFOE,Consumer Cyclicals,Damai Sejahtera Abadi Tbk.,Pengembangan
ULTJ,Consumer Non-Cyclicals,Ultrajaya Milk Industry & Trad,Utama
UNIC,Basic Materials,Unggul Indah Cahaya Tbk.,Utama
UNIQ,Energy,Ulima Nitra Tbk.,Pengembangan
UNIT,Consumer Cyclicals,Nusantara Inti Corpora Tbk,Pemantauan Khusus
UNSP,Consumer Non-Cyclicals,Bakrie Sumatera Plantations Tb,Pemantauan Khusus
UNTD,Consumer Cyclicals,Terang Dunia Internusa Tbk.,Pengembangan
UNTR,Industrials,United Tractors Tbk.,Utama
UNVR,Consumer Non-Cyclicals,Unilever Indonesia Tbk.,Utama
URBN,Properties & Real Estate,Urban Jakarta Propertindo Tbk.,Pemantauan Khusus
UVCR,Technology,Trimegah Karya Pratama Tbk.,Pengembangan
VAST,Properties & Real Estate,Vastland Indonesia Tbk.,Pengembangan
VERN,Consumer Cyclicals,Verona Indah Pictures Tbk.,Pengembangan
VICI,Consumer Non-Cyclicals,Victoria Care Indonesia Tbk.,Utama
VICO,Financials,Victoria Investama Tbk.,Utama
VINS,Financials,Victoria Insurance Tbk.,Pengembangan
VISI,Industrials,Satu Visi Putra Tbk.,Pengembangan
VIVA,Consumer Cyclicals,Visi Media Asia Tbk.,Pemantauan Khusus
VKTR,Consumer Cyclicals,VKTR Teknologi Mobilitas Tbk.,Pengembangan
VOKS,Industrials,Voksel Electric Tbk.,Pengembangan
VRNA,Financials,Mizuho Leasing Indonesia Tbk.,Pengembangan
VTNY,Financials,Venteny Fortuna International,Pengembangan
WAPO,Consumer Non-Cyclicals,Wahana Pronatural Tbk.,Pengembangan
WBSA,Transportation & Logistic,BSA Logistics Indonesia Tbk.,Pengembangan
WEGE,Infrastructures,Wijaya Karya Bangunan Gedung T,Pengembangan
WEHA,Transportation & Logistic,WEHA Transportasi Indonesia Tb,Pengembangan
WGSH,Technology,Wira Global Solusi Tbk.,Akselerasi
WICO,Consumer Non-Cyclicals,Wicaksana Overseas Internation,Pemantauan Khusus
WIDI,Industrials,Widiant Jaya Krenindo Tbk.,Akselerasi
WIFI,Technology,Solusi Sinergi Digital Tbk.,Pengembangan
WIIM,Consumer Non-Cyclicals,Wismilak Inti Makmur Tbk.,Utama
WIKA,Infrastructures,Wijaya Karya (Persero) Tbk.,Pemantauan Khusus
WINE,Consumer Non-Cyclicals,Hatten Bali Tbk.,Pengembangan
WINR,Properties & Real Estate,Winner Nusantara Jaya Tbk.,Pemantauan Khusus
WINS,Energy,Wintermar Offshore Marine Tbk.,Utama
WIRG,Technology,WIR ASIA Tbk.,Pengembangan
WMPP,Consumer Non-Cyclicals,Widodo Makmur Perkasa Tbk.,Pemantauan Khusus
WMUU,Consumer Non-Cyclicals,Widodo Makmur Unggas Tbk.,Pengembangan
WOMF,Financials,Wahana Ottomitra Multiartha Tb,Pengembangan
WOOD,Consumer Cyclicals,Integra Indocabinet Tbk.,Utama
WOWS,Energy,Ginting Jaya Energi Tbk.,Pengembangan
WSBP,Basic Materials,Waskita Beton Precast Tbk.,Pemantauan Khusus
WSKT,Infrastructures,Waskita Karya (Persero) Tbk.,Pemantauan Khusus
WTON,Basic Materials,Wijaya Karya Beton Tbk.,Utama
YELO,Consumer Cyclicals,Yelooo Integra Datanet Tbk.,Pengembangan
YOII,Financials,Asuransi Digital Bersama Tbk.,Pengembangan
YPAS,Basic Materials,Yanaprima Hastapersada Tbk,Pengembangan
YULE,Financials,Yulie Sekuritas Indonesia Tbk.,Pengembangan
YUPI,Consumer Non-Cyclicals,Yupi Indo Jelly Gum Tbk.,Utama
ZATA,Consumer Cyclicals,Bersama Zatta Jaya Tbk.,Pengembangan
ZBRA,Industrials,Dosni Roha Indonesia Tbk.,Pemantauan Khusus
ZINC,Basic Materials,Kapuas Prima Coal Tbk.,Pemantauan Khusus
ZONE,Consumer Cyclicals,Mega Perintis Tbk.,Pengembangan
ZYRX,Technology,Zyrexindo Mandiri Buana Tbk.,Pengembangan
